cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
Wakefield,sub-075.json,73,66,7,9.589,1,41,12.3562,4,41,13.4848
Wakefield,sub-078.json,70,55,15,21.4286,1,41,11.6286,5,41,14.2909
Wakefield,sub-079.json,76,59,17,22.3684,1,41,10.5921,4,41,13.2373
Wakefield,sub-082.json,68,54,14,20.5882,1,41,11.9265,4,41,14.5926
Wakefield,sub-083.json,77,59,18,23.3766,1,41,10.6623,4,41,13.4746
Wakefield,sub-085.json,78,63,15,19.2308,1,41,10.6795,4,41,12.9048
Wakefield,sub-086.json,81,61,20,24.6914,1,41,10.358,4,41,13.1967
Wakefield,sub-087.json,96,68,28,29.1667,1,41,9.5938,4,41,12.9853
Wakefield,sub-088.json,107,64,43,40.1869,1,28,8.2991,4,28,12.9688
Wakefield,sub-089.json,63,52,11,17.4603,1,41,12.4444,4,41,14.5962
Wakefield,sub-091.json,67,59,8,11.9403,1,41,12.0448,4,41,13.3898
Wakefield,sub-094.json,75,59,16,21.3333,1,41,11.4267,4,41,14.1525
Wakefield,sub-095.json,93,68,25,26.8817,1,41,10.4086,4,41,13.7206
Wakefield,sub-097.json,84,65,19,22.619,1,41,10.7381,4,41,13.4
Wakefield,sub-098.json,75,62,13,17.3333,1,41,11.3867,4,41,13.4839
Wakefield,sub-101.json,81,65,16,19.7531,1,41,11.1235,4,41,13.5231
Wakefield,sub-103.json,80,63,17,21.25,1,41,11.1625,4,41,13.7937
Wakefield,sub-107.json,145,74,71,48.9655,1,41,6.8138,4,41,12.027
Wakefield,sub-109.json,72,57,15,20.8333,1,41,11.4444,4,41,14.0351
Wakefield,sub-111.json,87,55,32,36.7816,1,40,9.4368,4,40,13.9636
Wakefield,sub-112.json,70,57,13,18.5714,1,41,11.4,4,41,13.5789
